Channel ID,Channel Name,Video Count,RSS Feed URL,YouTube URL
UC9Rd0gi2po8pDZC5qKlQW6Q,Burke Holland,2,https://www.youtube.com/feeds/videos.xml?channel_id=UC9Rd0gi2po8pDZC5qKlQW6Q,https://www.youtube.com/channel/UC9Rd0gi2po8pDZC5qKlQW6Q
UCZonap26CSIMtVKesNQN4dw,Frank Nillard,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCZonap26CSIMtVKesNQN4dw,https://www.youtube.com/channel/UCZonap26CSIMtVKesNQN4dw
UCKlET6nkHSKNWef97D_UBkQ,Latifs Inspired,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCKlET6nkHSKNWef97D_UBkQ,https://www.youtube.com/channel/UCKlET6nkHSKNWef97D_UBkQ
UCiGWNa6QK6CiKPvv5-YPv8g,Sabrina Ramonov 🍄,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCiGWNa6QK6CiKPvv5-YPv8g,https://www.youtube.com/channel/UCiGWNa6QK6CiKPvv5-YPv8g
UCPS2CLdJZaG_rFUXfwn2jpA,Mikkel Malmberg,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCPS2CLdJZaG_rFUXfwn2jpA,https://www.youtube.com/channel/UCPS2CLdJZaG_rFUXfwn2jpA
UCMLtBahI5DMrt0NPvDSoIRQ,Machine Learning Street Talk,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCMLtBahI5DMrt0NPvDSoIRQ,https://www.youtube.com/channel/UCMLtBahI5DMrt0NPvDSoIRQ
UCPzGwk1N5ea7sV3S2c2x1kg,Simon Willison,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCPzGwk1N5ea7sV3S2c2x1kg,https://www.youtube.com/channel/UCPzGwk1N5ea7sV3S2c2x1kg
UCX6c6hTIqcphjMsXbeanJ1g,Prompt Engineer,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCX6c6hTIqcphjMsXbeanJ1g,https://www.youtube.com/channel/UCX6c6hTIqcphjMsXbeanJ1g
UC9FCbOYPZl6QhXgxj_MGRkw,Franklin AI,2,https://www.youtube.com/feeds/videos.xml?channel_id=UC9FCbOYPZl6QhXgxj_MGRkw,https://www.youtube.com/channel/UC9FCbOYPZl6QhXgxj_MGRkw
UCyC5AJFvZmJqs_H5_rdSuTA,SkillCurb,2,https://www.youtube.com/feeds/videos.xml?channel_id=UCyC5AJFvZmJqs_H5_rdSuTA,https://www.youtube.com/channel/UCyC5AJFvZmJqs_H5_rdSuTA
